2018/12/21 14:08:37 [error] 8584#9236: *3 CreateFile() "F:/longnan/favicon.ico" failed (2: The system cannot find the file specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.21:63342", referrer: "http://192.168.1.21:63342/login.html"
2018/12/21 14:22:39 [error] 2612#9080: *1 CreateFile() "F:/longnan/longnan/login.html" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /longnan/login.html HTTP/1.1", host: "localhost:63341"
2018/12/21 14:22:39 [error] 2612#9080: *1 CreateFile() "F:/longnan/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", host: "localhost:63341", referrer: "http://localhost:63341/longnan/login.html"
2018/12/21 14:22:49 [error] 2612#9080: *4 CreateFile() "F:/longnan/longnan/login.html" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /longnan/login.html HTTP/1.1", host: "192.168.1.21:63341"
2018/12/21 14:23:03 [error] 2612#9080: *4 CreateFile() "F:/longnan/longnan/login.html" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /longnan/login.html HTTP/1.1", host: "192.168.1.21:63341"
2018/12/21 14:27:31 [error] 2612#9080: *34 CreateFile() "F:/longnan/favicon.ico" failed (2: The system cannot find the file specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.21:63341"
2018/12/21 14:30:09 [error] 2612#9080: *34 CreateFile() "F:/longnan/file/download/images/201812211425171538531.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /file/download/images/201812211425171538531.jpg HTTP/1.1", host: "192.168.1.21:63341", referrer: "http://192.168.1.21:63341/down_certificate.html"
2018/12/21 14:36:18 [error] 2612#9080: *65 CreateFile() "F:/longnan/favicon.ico" failed (2: The system cannot find the file specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.21:63341"
2018/12/21 14:36:52 [error] 2612#9080: *68 CreateFile() "F:/longnan/favicon.ico" failed (2: The system cannot find the file specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.21:63341"
2018/12/21 14:47:58 [notice] 6840#9968: signal process started
2018/12/21 14:54:39 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/favicon.ico" failed (2: The system cannot find the file specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /favicon.ico HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/carouselGallery/4ad11cab69dc424e94d86cdb125af83b/4ad11cab69dc424e94d86cdb125af83b.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/carouselGallery/4ad11cab69dc424e94d86cdb125af83b/4ad11cab69dc424e94d86cdb125af83b.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/carouselGallery/24cbd0b3e27c4009aea06156571937a3/24cbd0b3e27c4009aea06156571937a3.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/carouselGallery/24cbd0b3e27c4009aea06156571937a3/24cbd0b3e27c4009aea06156571937a3.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/carouselGallery/4a6b9ae0aa5e4c35abcbd5e346fbc854/4a6b9ae0aa5e4c35abcbd5e346fbc854.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/carouselGallery/4a6b9ae0aa5e4c35abcbd5e346fbc854/4a6b9ae0aa5e4c35abcbd5e346fbc854.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/carouselGallery/0c84a40266e0402399c308114794919f/0c84a40266e0402399c308114794919f.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/carouselGallery/0c84a40266e0402399c308114794919f/0c84a40266e0402399c308114794919f.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/carouselGallery/7bb8b2b9051a40c7b7392e9da91ab4db/7bb8b2b9051a40c7b7392e9da91ab4db.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/carouselGallery/7bb8b2b9051a40c7b7392e9da91ab4db/7bb8b2b9051a40c7b7392e9da91ab4db.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *7 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/carouselGallery/06a33caecf9f47fc9d83ce03f9894b8b/06a33caecf9f47fc9d83ce03f9894b8b.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/carouselGallery/06a33caecf9f47fc9d83ce03f9894b8b/06a33caecf9f47fc9d83ce03f9894b8b.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/2d4dc1a46df44a349d011eb75f4a1a90/photo/2d4dc1a46df44a349d011eb75f4a1a90.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/2d4dc1a46df44a349d011eb75f4a1a90/photo/2d4dc1a46df44a349d011eb75f4a1a90.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/4d40c6757d4a40828ab7bbccaede242b/photo/4d40c6757d4a40828ab7bbccaede242b.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/4d40c6757d4a40828ab7bbccaede242b/photo/4d40c6757d4a40828ab7bbccaede242b.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/633e6258f1ec4608ab511d5982e2d2df/photo/633e6258f1ec4608ab511d5982e2d2df.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/633e6258f1ec4608ab511d5982e2d2df/photo/633e6258f1ec4608ab511d5982e2d2df.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/dba7185743bf41e1b46e06e9c90891be/photo/dba7185743bf41e1b46e06e9c90891be.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/dba7185743bf41e1b46e06e9c90891be/photo/dba7185743bf41e1b46e06e9c90891be.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/1edc0f5c8a5c4bcea3ccaf0b79fc951a/photo/1edc0f5c8a5c4bcea3ccaf0b79fc951a.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/1edc0f5c8a5c4bcea3ccaf0b79fc951a/photo/1edc0f5c8a5c4bcea3ccaf0b79fc951a.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *11 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/422d260c3247477eaf25f694ecf5daab/photo/422d260c3247477eaf25f694ecf5daab.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/422d260c3247477eaf25f694ecf5daab/photo/422d260c3247477eaf25f694ecf5daab.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *7 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/categoryIcon/40adb2042c4d4c82a67d4f2740047416/40adb2042c4d4c82a67d4f2740047416.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/categoryIcon/40adb2042c4d4c82a67d4f2740047416/40adb2042c4d4c82a67d4f2740047416.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *8 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/categoryIcon/fc52ec3dd923407bacefaa96b810d531/fc52ec3dd923407bacefaa96b810d531.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/categoryIcon/fc52ec3dd923407bacefaa96b810d531/fc52ec3dd923407bacefaa96b810d531.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *6 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/categoryIcon/f5af1058267f469da33046057e455221/f5af1058267f469da33046057e455221.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/categoryIcon/f5af1058267f469da33046057e455221/f5af1058267f469da33046057e455221.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/ce7c9ece86db4260afb00cfca0edf08c/photo/ce7c9ece86db4260afb00cfca0edf08c.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/ce7c9ece86db4260afb00cfca0edf08c/photo/ce7c9ece86db4260afb00cfca0edf08c.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/categoryIcon/ec2c771ff8964bcb9e5dde33b489f534/ec2c771ff8964bcb9e5dde33b489f534.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/categoryIcon/ec2c771ff8964bcb9e5dde33b489f534/ec2c771ff8964bcb9e5dde33b489f534.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *10 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/995e29738af64fa5bc3ca560eaa5acd6/photo/995e29738af64fa5bc3ca560eaa5acd6.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/995e29738af64fa5bc3ca560eaa5acd6/photo/995e29738af64fa5bc3ca560eaa5acd6.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
2018/12/21 14:54:40 [error] 4884#7956: *12 CreateFile() "F:/备份/mooc_jquery备份/1.0/mooc_jquery1.0/trunk/atel-mooc/src/main/webapp/data/course/a390cab5ddfa46849377c42e65f47ce5/photo/a390cab5ddfa46849377c42e65f47ce5.jpg" failed (3: The system cannot find the path specified), client: 192.168.1.21, server: 127.0.0.1, request: "GET /data/course/a390cab5ddfa46849377c42e65f47ce5/photo/a390cab5ddfa46849377c42e65f47ce5.jpg HTTP/1.1", host: "192.168.1.21:63340", referrer: "http://192.168.1.21:63340/index.html"
